"Title:","Total Votes Cast from the U.S. Presidential Elections Database"
"SubTitle:","State"
"Time:","1976 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","MIT Election Data and Science Lab  (2021-10-06). U.S. Presidential Elections: Total Votes Cast | Alabama, California, Florida, Illinois, Massachusetts, Michigan, New Jersey, New York, Texas, Virginia, Washington DC, Wyoming, 1976 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  107-001-003 doi:https://doi.org/10.6068/DP184683B710B29"
"ColumnCount:",13
"RowCount:",12

"Time","Alabama, Total Vote Count","California, Total Vote Count","Florida, Total Vote Count","Illinois, Total Vote Count","Massachusetts, Total Vote Count","Michigan, Total Vote Count","New Jersey, Total Vote Count","New York, Total Vote Count","Texas, Total Vote Count","Virginia, Total Vote Count","Washington DC, Total Vote Count","Wyoming, Total Vote Count"
"1976",1182850,7803770,3150631,4721282,2547558,3651590,3014472,6668262,4071884,1697094,168830,156343
"1980",1341929,8582938,3686927,4749721,2524090,3909725,2975684,6201959,4541636,1866032,173889,176713
"1984",1441713,9505041,4180051,4819088,2559383,3801658,3217862,6806810,5397571,2146635,211288,188968
"1988",1378476,9887065,4302313,4559120,2632801,3669163,3099553,6485683,5427410,2191609,192877,176551
"1992",1688060,11131721,5313392,5050157,2773664,4274673,3343594,7079432,6154018,2559129,227572,199884
"1996",1534349,10019469,5303154,4311391,2556459,3848844,3075860,6439129,5611644,2416642,185726,211571
"2000",1666272,10965822,5963110,4742108,2733964,4232501,3187226,6960215,6407637,2739447,201894,213726
"2004",1883415,12421353,7609810,5274322,2927455,4839252,3611691,7448266,7410749,3195415,227586,243861
"2008",2099819,13561900,8390744,5522371,3102995,5001596,3868237,7722019,8077795,3723260,265853,254904
"2012",2074338,13038547,8474179,5242014,3184196,4730961,3638499,7116784,7993851,3854489,293764,250701
"2016",2123372,14181595,9420039,5536424,3378821,4799284,3874046,7802084,8969226,3982752,312575,258788
"2020",2323282,17500881,11067456,6033743,3658005,5539302,4549353,8661735,11315056,4460524,344356,278503



"Publisher:", "MIT Election Data and Science Lab "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."